ed_clean,YES,NO,reported,ad,ed,percentage,passed
27038,629,760,99.00%,27,38,45.28437724982001,FALSE
27039,492,1109,99.00%,27,39,30.730793254216117,FALSE
27040,856,947,99.00%,27,40,47.47642817526345,FALSE
27041,187,603,99.00%,27,41,23.67088607594937,FALSE
27042,491,2175,99.00%,27,42,18.41710427606902,FALSE
27043,574,1353,99.00%,27,43,29.78723404255319,FALSE
27044,528,1486,99.00%,27,44,26.216484607745777,FALSE
27045,435,1701,99.00%,27,45,20.365168539325843,FALSE
27046,81,374,99.00%,27,46,17.802197802197803,FALSE
27047,384,263,99.00%,27,47,59.35085007727975,TRUE
27048,536,1252,99.00%,27,48,29.977628635346754,FALSE
27049,586,1162,99.00%,27,49,33.52402745995423,FALSE
27050,526,955,99.00%,27,50,35.51654287643484,FALSE
27051,569,1095,85.71%,27,51,34.19471153846153,FALSE
27052,0,0,99.00%,27,52,NA,FALSE
27053,0,0,99.00%,27,53,NA,FALSE
27054,0,0,99.00%,27,54,NA,FALSE
27055,0,0,99.00%,27,55,NA,FALSE
27056,0,0,57.14%,27,56,NA,FALSE
27057,0,0,99.00%,27,57,NA,FALSE
27058,0,0,99.00%,27,58,NA,FALSE
27059,0,0,99.00%,27,59,NA,FALSE
27060,0,0,99.00%,27,60,NA,FALSE
27061,0,0,99.00%,27,61,NA,FALSE
27062,0,0,99.00%,27,62,NA,FALSE
27063,0,0,99.00%,27,63,NA,FALSE
27064,0,0,99.00%,27,64,NA,FALSE
27065,0,0,99.00%,27,65,NA,FALSE
27066,0,0,99.00%,27,66,NA,FALSE
27067,0,0,99.00%,27,67,NA,FALSE
27068,0,0,99.00%,27,68,NA,FALSE
28001,388,189,99.00%,28,1,67.24436741767764,TRUE
28002,1364,982,99.00%,28,2,58.14151747655584,TRUE
28003,1033,1074,99.00%,28,3,49.02705268153773,FALSE
28004,1289,835,99.00%,28,4,60.687382297551785,TRUE
28005,166,129,99.00%,28,5,56.271186440677965,TRUE
28006,268,412,99.00%,28,6,39.411764705882355,FALSE
28007,900,1042,99.00%,28,7,46.34397528321318,FALSE
28008,1063,842,99.00%,28,8,55.8005249343832,TRUE
28009,1120,902,99.00%,28,9,55.39070227497527,TRUE
28010,265,648,99.00%,28,10,29.025191675794087,FALSE
28011,507,780,99.00%,28,11,39.39393939393939,FALSE
28012,596,1258,99.00%,28,12,32.14670981661273,FALSE
28013,424,673,99.00%,28,13,38.65086599817685,FALSE
28014,763,810,99.00%,28,14,48.506039415130324,FALSE
28015,742,919,99.00%,28,15,44.67188440698375,FALSE
28016,9,11,99.00%,28,16,45,FALSE
28017,27,48,99.00%,28,17,36,FALSE
28018,161,188,99.00%,28,18,46.13180515759313,FALSE
28019,612,593,99.00%,28,19,50.788381742738586,TRUE
28020,961,826,99.00%,28,20,53.777280358142136,TRUE
28021,256,320,83.33%,28,21,44.44444444444444,FALSE
28022,737,1415,99.00%,28,22,34.24721189591078,FALSE
28023,408,1093,99.00%,28,23,27.181878747501663,FALSE
28024,791,1685,99.00%,28,24,31.94668820678514,FALSE
28025,787,1969,99.00%,28,25,28.55587808417997,FALSE
28026,653,1202,99.00%,28,26,35.2021563342318,FALSE
28027,470,731,99.00%,28,27,39.13405495420483,FALSE
28028,517,543,99.00%,28,28,48.77358490566038,FALSE
28029,941,1092,99.00%,28,29,46.28627643876045,FALSE
28030,1358,1499,99.00%,28,30,47.53237661883094,FALSE
28031,1268,920,99.00%,28,31,57.95246800731262,TRUE
28032,1266,1081,99.00%,28,32,53.94120153387303,TRUE
28033,851,622,99.00%,28,33,57.773251866938224,TRUE
28034,978,661,99.00%,28,34,59.670530811470414,TRUE
28035,1590,1326,99.00%,28,35,54.52674897119342,TRUE
28036,377,304,99.00%,28,36,55.359765051395,TRUE
28037,1139,1136,99.00%,28,37,50.06593406593407,TRUE
28038,991,890,99.00%,28,38,52.68474215842637,TRUE
28039,1084,925,99.00%,28,39,53.95719263315082,TRUE
28040,1084,1162,99.00%,28,40,48.26357969723954,FALSE
28041,380,337,99.00%,28,41,52.998605299860536,TRUE
28042,119,154,99.00%,28,42,43.58974358974359,FALSE
28043,860,1062,99.00%,28,43,44.74505723204995,FALSE
28044,627,909,99.00%,28,44,40.8203125,FALSE
28045,821,730,99.00%,28,45,52.93359123146357,TRUE
28046,851,571,99.00%,28,46,59.84528832630098,TRUE
28047,709,571,99.00%,28,47,55.39062500000001,TRUE
28048,658,544,99.00%,28,48,54.742096505823625,TRUE
28049,547,494,99.00%,28,49,52.545629202689724,TRUE
28050,1004,884,99.00%,28,50,53.17796610169492,TRUE
28051,1135,744,99.00%,28,51,60.40447046301224,TRUE
28052,843,687,99.00%,28,52,55.09803921568628,TRUE
28053,1339,1218,99.00%,28,53,52.36605396949551,TRUE
28054,1111,1136,99.00%,28,54,49.443702714730755,FALSE
28055,958,1176,99.00%,28,55,44.89222118088097,FALSE
28056,727,775,99.00%,28,56,48.402130492676434,FALSE
28057,865,795,99.00%,28,57,52.108433734939766,TRUE
28058,852,1011,99.00%,28,58,45.73268921095008,FALSE
28059,638,699,99.00%,28,59,47.718773373223634,FALSE
28060,696,858,99.00%,28,60,44.78764478764479,FALSE
28061,441,1196,99.00%,28,61,26.939523518631642,FALSE
28062,1199,996,99.00%,28,62,54.624145785877,TRUE
28063,9,0,99.00%,28,63,100,TRUE
28064,111,152,99.00%,28,64,42.20532319391635,FALSE
28065,314,497,99.00%,28,65,38.71763255240444,FALSE
28066,534,866,99.00%,28,66,38.142857142857146,FALSE
28067,169,167,99.00%,28,67,50.297619047619044,TRUE
28068,174,287,99.00%,28,68,37.744034707158356,FALSE
28069,233,258,99.00%,28,69,47.45417515274949,FALSE
28070,7,7,99.00%,28,70,50,FALSE
28071,174,105,99.00%,28,71,62.365591397849464,TRUE
28072,749,663,99.00%,28,72,53.04532577903682,TRUE
28073,0,0,99.00%,28,73,NA,FALSE
28074,0,0,99.00%,28,74,NA,FALSE
28075,0,0,99.00%,28,75,NA,FALSE
29001,1067,344,90.00%,29,1,75.62012756909992,TRUE
29002,914,303,90.00%,29,2,75.102711585866885,TRUE
29003,810,272,90.00%,29,3,74.86136783733826,TRUE
29004,1031,316,99.00%,29,4,76.5404602821084,TRUE
29005,1069,384,99.00%,29,5,73.5719201651755,TRUE
29006,1011,393,99.00%,29,6,72.00854700854701,TRUE
29007,787,291,99.00%,29,7,73.00556586270872,TRUE
29008,796,303,99.00%,29,8,72.4294813466788,TRUE
29009,645,309,99.00%,29,9,67.61006289308176,TRUE
29010,1366,607,99.00%,29,10,69.23466801824632,TRUE
29011,1265,466,99.00%,29,11,73.0791450028885,TRUE
29012,1173,432,99.00%,29,12,73.08411214953271,TRUE
29013,1220,425,99.00%,29,13,74.16413373860182,TRUE
29014,1194,333,99.00%,29,14,78.1925343811395,TRUE
29015,119,54,99.00%,29,15,68.78612716763006,TRUE
29016,271,64,99.00%,29,16,80.8955223880597,TRUE
29017,669,211,99.00%,29,17,76.02272727272728,TRUE
29018,1133,472,99.00%,29,18,70.59190031152647,TRUE
29019,1186,607,99.00%,29,19,66.14612381483546,TRUE
29020,729,225,88.89%,29,20,76.41509433962264,TRUE
29021,1034,333,88.89%,29,21,75.64008778346745,TRUE
29022,883,365,88.89%,29,22,70.75320512820514,TRUE
29023,1281,536,99.00%,29,23,70.50082553659878,TRUE
29024,109,64,99.00%,29,24,63.005780346820806,TRUE
29025,840,302,88.89%,29,25,73.5551663747811,TRUE
29026,222,85,99.00%,29,26,72.31270358306189,TRUE
29027,1121,422,88.89%,29,27,72.65068049254698,TRUE
29028,1157,379,88.89%,29,28,75.32552083333334,TRUE
29029,744,270,99.00%,29,29,73.37278106508876,TRUE
29030,619,260,99.00%,29,30,70.42093287827076,TRUE
29031,686,286,88.89%,29,31,70.57613168724279,TRUE
29032,566,215,88.89%,29,32,72.47119078104993,TRUE
29033,527,226,99.00%,29,33,69.9867197875166,TRUE
29034,1030,569,99.00%,29,34,64.41525953721076,TRUE
29035,811,326,99.00%,29,35,71.32805628847845,TRUE
29036,848,540,99.00%,29,36,61.09510086455331,TRUE
29037,864,321,99.00%,29,37,72.9113924050633,TRUE
29038,833,307,99.00%,29,38,73.0701754385965,TRUE
29039,1033,315,99.00%,29,39,76.6320474777448,TRUE
29040,888,309,99.00%,29,40,74.18546365914787,TRUE
29041,927,289,99.00%,29,41,76.23355263157895,TRUE
29042,174,40,99.00%,29,42,81.30841121495327,TRUE
29043,889,307,99.00%,29,43,74.33110367892976,TRUE
29044,906,213,99.00%,29,44,80.9651474530831,TRUE
29045,1297,287,99.00%,29,45,81.88131313131312,TRUE
29046,500,148,99.00%,29,46,77.1604938271605,TRUE
29047,467,126,99.00%,29,47,78.75210792580101,TRUE
29048,907,347,99.00%,29,48,72.32854864433811,TRUE
29049,62,21,57.14%,29,49,74.69879518072288,TRUE
29050,1266,525,99.00%,29,50,70.68676716917923,TRUE
